Date,EUR,GBP,CAD,AUD,JPY
7/2/1999,0.975704947,0.633352334,1.4628,1.495886313,121
7/5/1999,0.978186442,0.635122261,1.4681,1.501276085,122.37
7/6/1999,0.976944119,0.640245854,1.4714,1.511258879,122.25
7/7/1999,0.978282137,0.640984552,1.4693,1.497902936,122.27
7/8/1999,0.978282137,0.641601437,1.4708,1.498800959,122.53
7/9/1999,0.980776775,0.645786245,1.4721,1.501501502,122.41
7/12/1999,0.985707245,0.642095801,1.4788,1.513088213,122.12
7/13/1999,0.983284169,0.641930928,1.4811,1.517680983,121.24
7/14/1999,0.986485153,0.639222705,1.481,1.518833536,120.74
7/15/1999,0.981354269,0.638936809,1.482,1.512172993,120.99
7/16/1999,0.980296049,0.64008193,1.4828,1.513775356,120.97
7/19/1999,0.969649956,0.632431065,1.4903,1.535862387,118.25
7/20/1999,0.961538462,0.636010939,1.4915,1.547029703,118.93
7/21/1999,0.952380952,0.63339245,1.4987,1.542971764,118.18
7/22/1999,0.951655881,0.632191175,1.5076,1.542257866,116.86
7/23/1999,0.951927653,0.633753723,1.5062,1.544640099,116.64
7/26/1999,0.939231708,0.628772636,1.511,1.546072975,116.85
7/27/1999,0.940468353,0.628654052,1.5134,1.549426712,116.47
7/28/1999,0.937910336,0.626134869,1.5081,1.546072975,115.9
7/29/1999,0.932400932,0.618199802,1.5053,1.536570375,115.43
7/30/1999,0.933532487,0.616674889,1.5066,1.533272002,114.53
8/2/1999,0.935366196,0.618773591,1.5042,1.536570375,114.4
8/3/1999,0.936329588,0.61716966,1.4924,1.528117359,115.29
8/4/1999,0.927988122,0.617322057,1.4901,1.518141794,114.33
8/5/1999,0.929540807,0.620039683,1.4971,1.528117359,114.45
8/6/1999,0.930838686,0.62150404,1.5039,1.531159087,114.87
8/9/1999,0.933096949,0.622316261,1.5019,1.528350909,115.08
8/10/1999,0.933706816,0.619156709,1.4974,1.533272002,114.83
8/11/1999,0.938262338,0.619962802,1.4862,1.53704273,115.39
8/12/1999,0.936855912,0.620655412,1.4852,1.54059467,115.29
8/13/1999,0.946342387,0.623247117,1.4774,1.533036946,115.83
8/16/1999,0.945090256,0.624531601,1.4834,1.5417823,114.59
8/17/1999,0.951746455,0.623713591,1.4769,1.540120129,113.93
8/18/1999,0.950570342,0.624297665,1.4834,1.543924656,111.84
8/19/1999,0.93949643,0.618543948,1.4944,1.574555188,111.6
8/20/1999,0.937031484,0.619195046,1.4959,1.571832757,111.29
8/23/1999,0.953197979,0.624687656,1.4976,1.575547503,111.67
8/24/1999,0.948406677,0.627077193,1.49,1.569119724,110.82
8/25/1999,0.959324635,0.630795433,1.4957,1.580278129,111.09
8/26/1999,0.956663159,0.629683269,1.5009,1.587805653,111.57
8/27/1999,0.955657492,0.629564341,1.4888,1.583280557,111.43
8/30/1999,0.953925403,0.628812174,1.494,1.572821642,110.63
8/31/1999,0.946431952,0.623519142,1.4928,1.560792883,109.73
9/1/1999,0.945000945,0.623519142,1.4876,1.56641604,109.14
